Responder_id,LanguagesWorkedWith,,,,,,,,,,,,,
1,HTML/CSS;Java;JavaScript;Python,HTML/CSS,Java,JavaScript,Python,,,,,,,,,
2,C++;HTML/CSS;Python,C++,HTML/CSS,Python,,,,,,,,,,
3,HTML/CSS,HTML/CSS,,,,,,,,,,,,
4,C;C++;C#;Python;SQL,C,C++,C#,Python,SQL,,,,,,,,
5,C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA,C++,HTML/CSS,Java,JavaScript,Python,SQL,VBA,,,,,,
6,Java;R;SQL,Java,R,SQL,,,,,,,,,,
7,HTML/CSS;JavaScript,HTML/CSS,JavaScript,,,,,,,,,,,
8,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell/PowerShell,C,C++,HTML/CSS,Java,JavaScript,Python,SQL,,,,,
9,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript;WebAssembly;Other(s):,Bash/Shell/PowerShell,C#,HTML/CSS,JavaScript,Python,Ruby,Rust,SQL,TypeScript,WebAssembly,Other(s):,,
10,C#;Go;JavaScript;Python;R;SQL,C#,Go,JavaScript,Python,R,SQL,,,,,,,
11,Other(s):,Other(s):,,,,,,,,,,,,
12,Bash/Shell/PowerShell;HTML/CSS;Java;Python;R;SQL,Bash/Shell/PowerShell,HTML/CSS,Java,Python,R,SQL,,,,,,,
13,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell/PowerShell,HTML/CSS,JavaScript,PHP,SQL,TypeScript,,,,,,,
14,C++,C++,,,,,,,,,,,,
15,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,Assembly,Bash/Shell/PowerShell,C,C++,HTML/CSS,Java,JavaScript,PHP,SQL,,,,
16,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;TypeScript;VBA,Bash/Shell/PowerShell,C#,HTML/CSS,JavaScript,TypeScript,VBA,,,,,,,
17,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript,Bash/Shell/PowerShell,HTML/CSS,JavaScript,TypeScript,,,,,,,,,
18,Python;R,Python,R,,,,,,,,,,,
19,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,C#,HTML/CSS,Java,JavaScript,SQL,TypeScript,,,,,,,
20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL,Bash/Shell/PowerShell,C#,HTML/CSS,Java,JavaScript,PHP,Python,R,SQL,,,,
21,Assembly;Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift,Assembly,Bash/Shell/PowerShell,C,C++,Go,Java,JavaScript,Kotlin,Python,Rust,SQL,Swift,
22,Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Bash/Shell/PowerShell,C++,HTML/CSS,JavaScript,Python,Ruby,SQL,TypeScript,,,,,
23,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL,Bash/Shell/PowerShell,HTML/CSS,JavaScript,Python,Ruby,SQL,,,,,,,
24,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS,JavaScript,PHP,TypeScript,,,,,,,,,
25,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS,JavaScript,PHP,SQL,TypeScript,,,,,,,,
26,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;Swift;TypeScript;VBA,Bash/Shell/PowerShell,C++,C#,HTML/CSS,JavaScript,PHP,Python,Ruby,SQL,Swift,TypeScript,VBA,
27,C++;JavaScript;Python;Ruby;SQL;TypeScript,C++,JavaScript,Python,Ruby,SQL,TypeScript,,,,,,,
28,JavaScript;TypeScript,JavaScript,TypeScript,,,,,,,,,,,
29,Bash/Shell/PowerShell;JavaScript;SQL,Bash/Shell/PowerShell,JavaScript,SQL,,,,,,,,,,
31,Python,Python,,,,,,,,,,,,
32,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python,Bash/Shell/PowerShell,HTML/CSS,JavaScript,PHP,Python,,,,,,,,
33,C++;Python;R,C++,Python,R,,,,,,,,,,
34,HTML/CSS;JavaScript,HTML/CSS,JavaScript,,,,,,,,,,,
35,HTML/CSS;JavaScript,HTML/CSS,JavaScript,,,,,,,,,,,
36,Java;Kotlin;Python,Java,Kotlin,Python,,,,,,,,,,
37,Bash/Shell/PowerShell;JavaScript;Python;Other(s):,Bash/Shell/PowerShell,JavaScript,Python,Other(s):,,,,,,,,,
38,C#;HTML/CSS;JavaScript;SQL,C#,HTML/CSS,JavaScript,SQL,,,,,,,,,
39,C#;JavaScript;SQL;TypeScript,C#,JavaScript,SQL,TypeScript,,,,,,,,,
40,C#;HTML/CSS,C#,HTML/CSS,,,,,,,,,,,
41,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;SQL,Bash/Shell/PowerShell,C,C++,HTML/CSS,Java,JavaScript,SQL,,,,,,
42,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS,JavaScript,PHP,TypeScript,,,,,,,,,
43,C++;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL,C++,C#,HTML/CSS,Java,JavaScript,Objective-C,SQL,,,,,,
44,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript;WebAssembly,Bash/Shell/PowerShell,C#,HTML/CSS,Java,JavaScript,SQL,TypeScript,WebAssembly,,,,,
45,Python,Python,,,,,,,,,,,,
46,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;PHP;Python;SQL;Other(s):,Bash/Shell/PowerShell,C,C#,HTML/CSS,JavaScript,PHP,Python,SQL,Other(s):,,,,
47,Java;PHP;Ruby,Java,PHP,Ruby,,,,,,,Bilgisayari kilitledigi icin (toplam 88000+ satir) sadece ilk 50 satiri aldim. Join ile B column'i acarak dillerin sayisini topladim; chart yaptim.,,,
48,HTML/CSS;PHP;SQL,HTML/CSS,PHP,SQL,,,,,,,,,,
49,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell/PowerShell,HTML/CSS,Java,JavaScript,PHP,Python,SQL,TypeScript,,,,,
50,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Bash/Shell/PowerShell,C,C++,HTML/CSS,Java,JavaScript,PHP,Python,SQL,,,,
51,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;R;TypeScript,Bash/Shell/PowerShell,C++,HTML/CSS,Java,JavaScript,Python,R,TypeScript,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Language,,,,,,,,,,,,,Total
,Python,3,1,4,5,4,2,4,1,1,0,0,0,25
,SQL,0,0,4,2,4,5,4,3,4,0,1,0,27
,C,1,4,2,0,0,0,0,0,0,0,0,0,7
,C++,5,4,3,2,0,0,0,0,0,0,0,0,14
,C#,5,5,2,0,0,0,0,0,0,0,0,0,12
,JavaScript,1,10,6,5,6,3,2,0,0,0,0,0,33
,Java,2,0,3,4,3,2,0,0,0,0,0,0,14
,HTML/CSS,6,9,7,5,1,0,0,0,0,0,0,0,28
,Bash/Shell/PowerShell,18,2,0,0,0,0,0,0,0,0,0,0,20
,PHP,0,2,3,2,1,3,1,1,0,0,0,0,13
,TypeScript,0,1,0,4,2,3,1,3,0,0,1,0,15
,Ruby,0,0,1,1,1,1,0,1,0,0,0,0,5
,R,0,1,1,0,0,0,1,1,0,0,0,0,4
,Swift,0,0,0,0,0,0,0,0,0,1,0,1,2
,Rust,0,0,0,0,0,0,0,0,0,1,0,0,1